Crypto,Date,Open,High,Low,Close
BTC,12/31/19,7254,7309,7132,7171
BTC,12/30/19,7402,7430,7217,7254
BTC,12/29/19,7334,7529,7295,7402
BTC,12/28/19,7235,7359,7235,7334
BTC,12/27/19,7208,7267,7087,7235
BTC,12/26/19,7218,7437,7179,7208
BTC,12/25/19,7255,7268,7130,7214
BTC,12/24/19,7328,7417,7168,7255
BTC,12/23/19,7420,7696,7302,7328
BTC,12/22/19,7145,7463,7138,7420
BTC,12/21/19,7209,7215,7128,7147
BTC,12/20/19,7169,7225,7094,7209
BTC,12/19/19,7144,7447,7065,7170
BTC,12/18/19,6633,7222,6459,7143
BTC,12/17/19,6892,6944,6602,6632
BTC,12/16/19,7133,7152,6856,6892
BTC,12/15/19,7092,7177,7027,7133
BTC,12/14/19,7252,7274,7022,7092
BTC,12/13/19,7212,7300,7195,7252
BTC,12/12/2019,7204,7299,7103,7212
BTC,12/11/2019,7234,7276,7151,7202
BTC,12/10/2019,7371,7396,7191,7234
BTC,12/09/2019,7564,7665,7304,7375
BTC,12/08/2019,7510,7585,7409,7564
BTC,12/07/2019,7484,7617,7484,7510
BTC,12/06/2019,7390,7619,7335,7484
BTC,12/05/2019,7194,7485,7177,7390
BTC,12/04/2019,7342,7740,7111,7194
BTC,12/03/2019,7331,7420,7260,7342
BTC,12/02/2019,7393,7464,7193,7331
BTC,12/01/2019,7560,7581,7257,7393
BTC,11/30/19,7721,7812,7486,7559
BTC,11/29/19,7578,7854,7393,7725
BTC,11/28/19,7558,7661,7436,7578
BTC,11/27/19,7124,7661,6872,7559
BTC,11/26/19,7236,7348,7054,7129
BTC,11/25/19,7066,7372,6559,7236
BTC,11/24/19,7295,7352,6958,7066
BTC,11/23/19,7345,7360,7118,7295
BTC,11/22/19,7617,7722,6816,7345
BTC,11/21/19,8102,8127,7447,7617
BTC,11/20/19,8124,8219,8051,8099
BTC,11/19/19,8231,8233,8030,8124
BTC,11/18/19,8565,8565,8083,8231
BTC,11/17/19,8494,8629,8409,8566
BTC,11/16/19,8461,8533,8437,8494
BTC,11/15/19,8660,8773,8407,8462
BTC,11/14/19,8768,8794,8578,8660
BTC,11/13/19,8772,8833,8716,8766
BTC,11/12/2019,8744,8852,8579,8772
